H2 photodissociation cross-sections, 
total into all electronic states
Resampled from H2.txt, originally from http://phidrates.space.swri.edu/
lambda [nm], cross-section [cm2]
261.5,9.999999999999944e-36
262.5,9.999999999999944e-36
263.5,9.999999999999944e-36
264.5,9.999999999999944e-36
265.5,9.999999999999944e-36
266.5,9.999999999999944e-36
267.5,9.999999999999944e-36
268.5,9.999999999999944e-36
269.5,9.999999999999944e-36
270.5,9.999999999999944e-36
271.5,9.999999999999944e-36
272.5,9.999999999999944e-36
273.5,9.999999999999944e-36
274.5,9.999999999999944e-36
275.5,9.999999999999944e-36
276.5,9.999999999999944e-36
