Mars-scaled Solar Photon Irradiance from LISIRD...http://lasp.colorado.edu/lisird/whi_ref_spectra/
I resampled these to 1-nm intervals and converted to photons 
assuming that all of the light was at the center of the bin.
Wavelength [nm]	Spectral Irradiance [ph/cm2/s/nm]
381.5	8.503880349071486e13
382.5	7.533095826262858e13
383.5	7.101831911104666e13
384.5	7.472689479948772e13
385.5	8.028106751931027e13
386.5	8.3097722520843e13
387.5	8.474859003921095e13
388.5	8.856508958996347e13
389.5	9.574883626583358e13
390.5	1.0031824915215098e14
391.5	9.628209220093762e13
392.5	8.679043466313847e13
393.5	8.111625948592138e13
394.5	8.235956716525222e13
395.5	8.643030247421486e13
396.5	9.126768757509375e13
397.5	1.0063714019851527e14
398.5	1.1637480470376372e14
399.5	1.3270398886089766e14
400.5	1.443143313959038e14
401.5	1.4931510269373666e14
402.5	1.507153404756599e14
403.5	1.4996087479289103e14
404.5	1.4805331064204825e14
405.5	1.4627782992940716e14
406.5	1.4649309488673184e14
407.5	1.4748097112638062e14
408.5	1.4921614286387872e14
409.5	1.5111079807925825e14
410.5	1.5264700586059788e14
411.5	1.5559544510885928e14
412.5	1.5759287297475284e14
413.5	1.5937663865605475e14
414.5	1.6012616046812662e14
415.5	1.5967259747306422e14
416.5	1.5928906415158556e14
417.5	1.5809414611133403e14
418.5	1.5783019178124706e14
419.5	1.5803081815323762e14
420.5	1.5832818671622334e14
421.5	1.5895610600921756e14
422.5	1.5822629353031462e14
423.5	1.57570232454373e14
424.5	1.567389800771138e14
425.5	1.5552000201072634e14
426.5	1.536627018104594e14
427.5	1.4909688702964153e14
428.5	1.4432401526634122e14
429.5	1.4099903503664366e14
430.5	1.4029839996177073e14
431.5	1.440701124250655e14
432.5	1.5026757804308003e14
433.5	1.5676763479071256e14
434.5	1.6241308509235812e14
435.5	1.6582070788444762e14
436.5	1.6742176181185822e14
437.5	1.6779772588186397e14
438.5	1.6849795863692362e14
439.5	1.7042927050094762e14
440.5	1.7341662307583544e14
441.5	1.775006745199645e14
442.5	1.8118780764677966e14
443.5	1.837326463817995e14
444.5	1.856498781367799e14
445.5	1.8707047265060125e14
446.5	1.8906594964494744e14
447.5	1.924049394963897e14
448.5	1.9561494192867828e14
449.5	1.9803110447307922e14
450.5	1.9985420640480047e14
451.5	2.0010982154522738e14
452.5	1.9938811076800844e14
453.5	1.991176271452112e14
454.5	1.9947882249948497e14
455.5	2.0009949461374084e14
456.5	2.0126352620407112e14
457.5	2.0265101120700862e14
458.5	2.0374828807209997e14
459.5	2.0474078827855106e14
460.5	2.0567375165916206e14
461.5	2.0637561755071444e14
462.5	2.066111503174987e14
463.5	2.062798079609035e14
464.5	2.0561870216320666e14
465.5	2.047973559624811e14
466.5	2.03879520240616e14
467.5	2.034922337415804e14
468.5	2.0377001551085503e14
469.5	2.0435973394115084e14
470.5	2.0537257352878044e14
471.5	2.0682145405340662e14
472.5	2.0830844651829294e14
473.5	2.0971155909758784e14
474.5	2.1114549306160506e14
475.5	2.1253616517486897e14
476.5	2.1372515794434006e14
477.5	2.1491830078908134e14
478.5	2.159640828869177e14
479.5	2.1657765205029284e14
480.5	2.1646970346320572e14
481.5	2.149287394158261e14
482.5	2.1241466242242962e14
483.5	2.0938077521728325e14
484.5	2.0629468837189362e14
485.5	2.036868654399116e14
486.5	2.021480648103955e14
487.5	2.02084618650521e14
488.5	2.032609161152653e14
489.5	2.0501574513377322e14
490.5	2.0701540256714928e14
491.5	2.0892556715710844e14
492.5	2.1060572518451044e14
493.5	2.1171407614645584e14
494.5	2.1245410386158716e14
495.5	2.1263979017948866e14
496.5	2.123173053653047e14
497.5	2.1185260212376934e14
498.5	2.1115726660934747e14
499.5	2.1043034953179588e14
500.5	2.0996368891219328e14
501.5	2.0986981501204988e14
502.5	2.1023489692753844e14
503.5	2.1096340593362325e14
504.5	2.11903229355039e14
505.5	2.1293063270302397e14
506.5	2.1379676002689747e14
507.5	2.142827059714561e14
508.5	2.1439393276014803e14
509.5	2.1423652052443178e14
510.5	2.135830273550071e14
511.5	2.120966334899508e14
512.5	2.1010371464234162e14
513.5	2.080757852956204e14
514.5	2.0624591224553278e14
515.5	2.0462760411179206e14
516.5	2.033218409986821e14
517.5	2.0275586377504762e14
518.5	2.0339506212027238e14
519.5	2.0480025244825247e14
520.5	2.0631545718338488e14
521.5	2.0777163043238862e14
522.5	2.0935652216439066e14
523.5	2.110890143001137e14
524.5	2.127378651226415e14
525.5	2.1387972899970412e14
526.5	2.1463272529339762e14
527.5	2.1550144221218772e14
528.5	2.167341165029451e14
529.5	2.1797220638709166e14
530.5	2.189510938695113e14
531.5	2.1962664414136553e14
532.5	2.201299473121527e14
533.5	2.205248236666408e14
